1,1,hotel roma,"psc 1716, box 5186 apo ap 18920",294-527-692,35
2,1,palazzo coliseo,"8183 michael glen apt. 437 petersonland, va 66579",771-764-467,43
3,1,domo vaticano,"7802 scott garden apt. 827 jerryport, wi 13545",647-252-126,30
4,1,hotel trastevere,unit 5444 box 3960 dpo ae 23180,738-387-267,22
5,1,domusamor navona,"47081 rosales islands suite 864 port sydney, ut 33108",998-171-811,18
6,1,roma gondola,"75237 ross radial ashleeburgh, ga 15492",734-544-857,20
7,2,hotel delle nazioni,"511 karen neck terriborough, wv 55292",321-718-523,28
8,2,hotel alba palace,"8300 kemp gateway suite 979 blackhaven, wv 71663",745-819-474,25
9,2,hotel jane,"65223 valdez viaduct lake seanview, wy 97324",214-454-587,23
10,2,hilton florence metropole,"518 hall dam new jesse, nm 01087",233-347-518,30
11,3,montparnasse,"0943 harmon ways collinsburgh, me 20733",692-622-914,60
12,3,eiffel hotel,"psc 4851, box 9887 apo ap 86712",717-744-934,70
13,3,citizenm paris,"833 flores key suite 707 south elizabethchester, ia 08393",799-491-215,50
14,4,hyatt regency chantilly,"9381 melissa walks apt. 623 port barbarafurt, mi 38305",441-127-177,50
15,5,le cocon de leon,"8927 hurst harbor apt. 156 timothyfort, ca 72308",485-531-155,55
16,6,royal hotel,"37962 sanders circles apt. 357 port timothy, tn 24656",315-196-562,30
17,6,hotel phenix,unit 6357 box 9808 dpo aa 45781,282-833-326,38
18,7,pitufihotel,"psc 3268, box 6667 apo ae 63637",241-126-819,20
19,8,b&b hotel dresden,"703 garcia drive suite 239 west carolside, nv 09666",633-564-612,35
20,9,the sanctuary house hotel,"1281 robert mountain schneidermouth, hi 23898",698-634-912,70
21,10,hotel rex milano,"71677 theresa fields chadchester, tn 58947",527-989-688,21
